Amellifera_OGSv3.2ID,FBpp,FBgnID
GB48205,FBpp0309982,FBgn0029930
GB49421,FBpp0309989,FBgn0029929
GB52324,FBpp0309999,FBgn0011695
GB54297,FBpp0310077,FBgn0021875
GB52742,FBpp0310094,FBgn0020521
GB45703,FBpp0310095,FBgn0035039
GB48085,FBpp0310123,FBgn0000536
GB51654,FBpp0310141,FBgn0029819
GB52925,FBpp0310149,FBgn0266098
GB53247,FBpp0310166,FBgn0029709
GB51757,FBpp0310325,FBgn0032600
GB54308,FBpp0310364,FBgn0038881
GB42783,FBpp0310372,FBgn0032673
GB50626,FBpp0310407,FBgn0032923
GB54789,FBpp0310411,FBgn0000239
GB41655,FBpp0310421,FBgn0039944
