chrom,start,end,snps,Ancestor.Control,Ancestor.Low,Ancestor.High,Control.Low,Control.High,Low.High
2L,19645001,19650000,123,0.00626454,0.000871025,0.00512797,0.0117129,0.0229694,0.00204923
2L,19650001,19655000,72,0.0119857,-6.49713e-05,0.0138761,0.0142769,0.0383612,0.0173729
2L,19655001,19660000,0,nan,nan,nan,nan,nan,nan
2L,19660001,19665000,0,nan,nan,nan,nan,nan,nan
2L,19665001,19670000,0,nan,nan,nan,nan,nan,nan
2L,19670001,19675000,13,0.0134874,0.00986611,0.028039,0.0395783,0.0571786,0.00855544
2L,19675001,19680000,105,0.00233519,0.0041154,0.0160153,0.0085425,0.0217208,0.0108935
2L,19680001,19685000,116,0.0121607,0.00113769,0.0119474,0.0287964,0.0340359,0.00770496
2L,19685001,19690000,106,0.012881,1.93501e-05,0.00440777,0.0240593,0.0305081,0.0025083
2L,19690001,19695000,95,0.019751,0.00763647,0.00331405,0.0491654,0.0383582,0.00900421
2L,19695001,19700000,110,0.0219224,0.00792877,0.0125234,0.0576585,0.057541,0.00409301
2L,19700001,19705000,110,0.0145567,0.0165094,0.00574904,0.0563474,0.0305815,0.0105936
2L,19705001,19710000,0,nan,nan,nan,nan,nan,nan
2L,19710001,19715000,29,0.0101534,0.00369261,0.010721,0.0338837,0.0442558,0.00463253
2L,19715001,19720000,90,0.0207757,0.0147561,0.00553747,0.0610991,0.0306247,0.0125992
2L,19720001,19725000,122,0.0206645,0.0106331,0.00621645,0.0588392,0.0394072,0.0135318
2L,19725001,19730000,66,0.0390892,0.00274656,0.00354011,0.0677872,0.0545617,0.000731401
2L,19730001,19735000,66,0.022561,0.00121853,0.0033248,0.0396769,0.0310182,-7.85968e-05
2L,19735001,19740000,30,0.016035,0.0068761,0.00834167,0.0519384,0.0521441,-0.00277674
2L,19740001,19745000,79,0.0185621,8.45105e-06,0.00451904,0.0318014,0.0483389,0.00200161
2L,19745001,19750000,88,0.0338604,0.0167494,0.0046874,0.105023,0.0771434,0.000709718
2L,19750001,19755000,89,0.0213734,0.0191249,0.005725,0.0896424,0.0555949,0.00556618
2L,19755001,19760000,112,0.00436515,0.0144718,0.00609614,0.0401258,0.0246499,-0.00237493
2L,19760001,19765000,110,0.00972667,0.0107911,0.00441546,0.0352938,0.0336184,0.00292134
2L,19765001,19770000,79,0.0171813,0.0122074,0.00344789,0.06109,0.0409526,0.00725992
2L,19770001,19775000,99,0.0231769,0.00573645,0.00326137,0.0484834,0.0381811,0.00731157
2L,19775001,19780000,58,0.00441432,0.020985,0.00119699,0.0485827,0.0185338,0.0192402
2L,19780001,19785000,75,0.00745844,0.00815047,0.00542926,0.043217,0.033664,-0.000696489
2L,19785001,19790000,102,0.0189055,0.0141253,0.00971647,0.0688542,0.0586866,0.0103963
2L,19790001,19795000,99,0.0182572,0.0106786,3.11176e-05,0.060168,0.0351145,0.00263272
2L,19795001,19800000,141,0.00654046,0.00637252,-1.33117e-05,0.0291744,0.0149274,0.00178454
2L,19800001,19805000,139,0.0104091,0.0102131,0.00465683,0.0457618,0.0344425,0.00190767
2L,19805001,19810000,148,0.0147859,0.00397211,0.0121046,0.0369385,0.0473248,0.00745129
2L,19810001,19815000,216,0.0151828,0.0148211,0.0185804,0.0538904,0.0643966,0.0131563
2L,19815001,19820000,147,0.0102069,0.0158922,0.00441194,0.0391912,0.0186511,0.0237299
2L,19820001,19825000,164,0.0153159,0.00166579,0.00544743,0.0276432,0.0298354,0.00816934
2L,19825001,19830000,130,0.00861372,0.00619488,0.00774959,0.0169813,0.0298334,0.00969571
2L,19830001,19835000,144,0.0126135,0.0060473,0.00855818,0.0149739,0.030813,0.00456951
2L,19835001,19840000,133,0.00770288,0.00810175,0.00535711,0.0113683,0.0257423,0.0123692
2L,19840001,19845000,123,0.0159474,0.0133169,0.00587969,0.0067331,0.0243046,0.0189434
2L,19845001,19850000,144,0.0148561,0.0181066,0.00561476,0.0225217,0.0200395,0.0131538
2L,19850001,19855000,159,0.00677948,0.00792972,0.00613571,0.015845,0.0194334,0.00924095
2L,19855001,19860000,135,0.0179343,0.00393479,0.005497,0.0140922,0.0339547,0.0158261
2L,19860001,19865000,93,0.00369764,0.00676356,0.00834077,0.0139664,0.0183368,0.0124012
2L,19865001,19870000,125,0.00907099,0.00550125,0.00731848,0.0175192,0.024135,0.0120563
2L,19870001,19875000,134,0.000979543,0.00620709,0.00225268,0.00725638,0.00859505,0.0060504
2L,19875001,19880000,124,0.00916773,0.00709795,0.00238295,0.0106058,0.0148087,0.00863954
2L,19880001,19885000,149,0.0239577,0.00426315,0.00590035,0.0176586,0.0510644,0.0159291
2L,19885001,19890000,206,0.0041606,0.00564294,0.00457928,0.00843113,0.0145447,0.00529058
2L,19890001,19895000,162,0.00626357,0.0077807,0.00704888,0.0144327,0.0220609,0.0157047
2L,19895001,19900000,178,0.00338928,0.00559631,9.64852e-05,0.0110244,0.0104394,0.0129303
2L,19900001,19905000,181,0.00608777,0.00950992,0.00472555,0.0117394,0.0160468,0.0162209
2L,19905001,19910000,151,0.00362496,0.00884428,0.00282747,0.0113158,0.0032863,0.00831132
2L,19910001,19915000,170,0.00950859,0.0131139,0.00212449,0.00735817,0.0161666,0.0116019
2L,19915001,19920000,189,0.000464133,0.000808433,0.00831484,0.00523421,0.0143028,0.013442
2L,19920001,19925000,188,0.00510731,0.00804174,0.004171,0.00742045,0.00802776,0.00789935
2L,19925001,19930000,175,0.00534425,0.00535743,0.00559417,0.00247214,0.00817628,0.00970727
2L,19930001,19935000,175,0.00431088,0.0084985,0.00420521,0.0075787,0.00556866,0.00846919
2L,19935001,19940000,168,0.00262769,0.0114272,0.00504174,0.0214806,0.0123197,0.0108853
2L,19940001,19945000,166,0.00652428,0.00329982,0.0032459,0.0105157,0.00340339,0.00754143
2L,19945001,19950000,135,0.0136581,0.010253,0.00948301,0.0155455,0.00653193,0.0124108
2L,19950001,19955000,111,0.00643048,0.0135278,0.0127101,0.00468013,0.00940655,0.00258592
2L,19955001,19960000,76,0.00798445,0.00697062,0.0341375,0.00018324,0.0142065,0.00925003
2L,19960001,19965000,137,0.00581935,0.0102299,0.00884616,0.0072606,0.00794839,0.00464562
2L,19965001,19970000,158,0.0055332,0.00925642,0.0022122,0.0146622,0.0124139,0.0058421
2L,19970001,19975000,131,0.00225017,0.0149385,0.0101117,0.0161592,0.00828008,0.0092252
2L,19975001,19980000,140,0.00886527,0.00247586,0.0183065,0.0190957,0.0506884,0.00812693
2L,19980001,19985000,127,0.00208902,0.00276527,0.00837493,0.0115095,0.016379,0.00352118
2L,19985001,19990000,120,0.00876852,0.00629293,0.0167911,0.0161459,0.0327056,0.00277929
2L,19990001,19995000,119,0.00929266,0.00227388,0.0104333,0.0117522,0.0288181,0.00984523
2L,19995001,20000000,168,0.00399777,0.00353194,0.0159228,0.0045295,0.0216655,0.0161018
2L,20000001,20005000,99,0.00501136,0.000788974,0.0137746,0.0119143,0.0189467,0.0112778
2L,20005001,20010000,26,0.00886838,0.00645736,0.00871723,0.0105059,0.00781915,0.00126185
2L,20010001,20015000,104,0.00582934,0.00209314,0.00304809,0.0165357,0.0181962,1.47385e-05
2L,20015001,20020000,105,0.00659628,0.00418048,0.00755773,0.0117958,0.0232211,0.00378126
2L,20020001,20025000,95,0.0158205,0.0025261,0.0115477,0.0240377,0.0445158,0.0144352
2L,20025001,20030000,133,0.00564609,0.000347699,0.00719659,0.0112234,0.0280734,0.00863637
2L,20030001,20035000,148,0.00892475,0.00736112,0.0112494,0.0252493,0.042329,0.0150342
2L,20035001,20040000,157,0.0163717,0.00572922,0.00678618,0.0163471,0.0447331,0.0212512
2L,20040001,20045000,144,0.0112645,0.00268215,0.00660667,0.0145408,0.0276153,0.011989
2L,20045001,20050000,99,0.00838856,0.00037105,0.00739337,0.0112264,0.010813,0.00860352
2L,20050001,20055000,157,0.0191914,0.00574683,0.0170535,0.0156178,0.0101443,0.00661805
2L,20055001,20060000,92,0.0125909,0.00063157,0.0135562,0.0188129,0.0340763,0.0152916
2L,20060001,20065000,76,0.00982301,0.00923725,0.0166947,0.0134593,0.0181373,0.0142681
2L,20065001,20070000,129,0.00580145,0.0107124,0.00937786,0.0256285,0.0237981,0.0148061
2L,20070001,20075000,123,0.00960585,0.00379859,0.00580662,0.0049525,0.0162982,0.010093
2L,20075001,20080000,112,0.00610215,0.00891136,0.0182086,0.005141,0.0207843,0.00827472
2L,20080001,20085000,112,0.010087,0.00570705,0.00651589,0.0169983,0.0297031,0.00935924
2L,20085001,20090000,115,0.0287595,0.0050938,0.00290953,0.0183209,0.0509771,0.0170828
2L,20090001,20095000,86,0.0187656,-0.00067607,0.00799182,0.011426,0.0516724,0.0206344
2L,20095001,20100000,108,0.0217248,0.00409856,0.0177481,0.00717479,0.0754263,0.0465861
2L,20100001,20105000,99,0.0114835,0.000869106,0.010297,0.0154918,0.0431303,0.01732
2L,20105001,20110000,18,0.0154074,-0.00219391,-0.00211346,0.0169784,0.0265872,0.000701508
2L,20110001,20115000,26,0.00279353,-0.000974788,0.00457112,0.00239334,0.0187705,0.00444936
2L,20115001,20120000,53,0.0065275,-0.000524929,-0.00255002,0.00407466,0.0189059,0.00563149
2L,20120001,20125000,117,0.00247343,0.00207236,0.00808415,0.00921797,0.0189822,0.00516524
2L,20125001,20130000,139,0.00817209,0.00556278,0.00155017,0.00731824,0.0169563,0.00861181
2L,20130001,20135000,73,0.00535606,0.0011094,0.0036276,0.00631093,0.014328,0.00470294
2L,20135001,20140000,112,0.00420331,0.00122989,0.0034491,0.00880573,0.0133482,0.00315329
2L,20140001,20145000,88,0.00547128,0.000972746,0.01288,0.0100566,0.0336867,0.0177984
2L,20145001,20150000,89,0.00936791,0.0137934,0.00987631,0.0116369,0.0179832,0.00138187
2L,20150001,20155000,2,0.0149771,0.00599178,0.0334779,-0.00526778,-0.0035989,0.00181596
2L,20155001,20160000,0,nan,nan,nan,nan,nan,nan
2L,20160001,20165000,0,nan,nan,nan,nan,nan,nan
2L,20165001,20170000,0,nan,nan,nan,nan,nan,nan
2L,20170001,20175000,1,0.0556519,-0.00217753,-0.00412036,0.0688652,0.065626,-0.0052356
2L,20175001,20180000,0,nan,nan,nan,nan,nan,nan
2L,20180001,20185000,0,nan,nan,nan,nan,nan,nan
2L,20185001,20190000,0,nan,nan,nan,nan,nan,nan
2L,20190001,20195000,0,nan,nan,nan,nan,nan,nan
2L,20195001,20200000,0,nan,nan,nan,nan,nan,nan
2L,20200001,20205000,5,0.0392337,-0.00157847,0.00643185,0.0485497,0.0308507,0.0123114
2L,20205001,20210000,2,3.48726e-05,0.001252,-0.00314229,-0.00630966,-0.00574891,-0.00524596
2L,20210001,20215000,7,0.00602867,0.00970547,0.0340239,-0.00363594,0.00724239,0.005368
2L,20215001,20220000,0,nan,nan,nan,nan,nan,nan
2L,20220001,20225000,43,0.000793486,0.00745503,0.0100816,0.00381554,0.00667659,0.00201835
2L,20225001,20230000,103,0.00983591,0.015041,0.0097628,0.0202641,0.0349262,0.0141798
2L,20230001,20235000,100,0.00334852,0.00297221,0.0106636,0.0113495,0.0215028,0.010784
2L,20235001,20240000,107,0.00379151,-0.000360804,0.00664578,0.00689906,0.0216828,0.00956025
2L,20240001,20245000,102,0.000327503,-0.000372078,0.00505447,0.00921299,0.0131817,0.0027781
2L,20245001,20250000,122,0.00723248,-0.000454235,0.00626642,0.0189328,0.0241778,0.00863774
2L,20250001,20255000,112,0.00570622,0.000184145,0.00142395,0.0111094,0.0159809,0.00294547
2L,20255001,20260000,81,0.0080289,0.00638228,0.0108809,0.0115136,0.0315766,0.0138107
2L,20260001,20265000,119,0.00446066,0.00580277,0.00168344,0.0189944,0.00989304,0.016347
2L,20265001,20270000,98,0.00774388,0.00309105,0.0156843,0.0193235,0.0383148,0.0116257
2L,20270001,20275000,40,0.00815638,0.0107431,0.00597251,0.0237212,0.0139096,0.00723403
2L,20275001,20280000,0,nan,nan,nan,nan,nan,nan
2L,20280001,20285000,54,0.0119728,0.00888489,0.0015468,0.0116072,0.0166995,0.0171517
2L,20285001,20290000,105,0.00616011,0.00491922,0.00989146,0.0123664,0.0279944,0.0103393
2L,20290001,20295000,138,0.00718587,0.00347126,0.004222,0.0136794,0.0208529,0.00637019
2L,20295001,20300000,105,0.0051674,0.0132268,0.00322363,0.0277046,0.0178036,0.0154875
2L,20300001,20305000,93,0.0107008,0.00218008,0.00707609,0.0147356,0.0390469,0.0178673
2L,20305001,20310000,0,nan,nan,nan,nan,nan,nan
2L,20310001,20315000,102,0.0245904,0.00441528,0.010926,0.01737,0.0623213,0.0291055
2L,20315001,20320000,95,0.00114437,0.00984959,0.00126221,0.00877366,0.00785625,0.0185982
2L,20320001,20325000,111,0.00468387,0.00103938,0.00119373,0.0063412,0.012517,0.00817733
2L,20325001,20330000,97,0.00526749,-0.00138436,0.00424572,0.00555668,0.0113422,0.0108044
2L,20330001,20335000,103,0.00122,0.00044019,0.00620103,0.0047284,0.0159459,0.016101
2L,20335001,20340000,101,0.000941439,0.00352352,0.0132815,0.00436852,0.0153384,0.0219044
2L,20340001,20345000,96,0.00285716,0.0030906,0.00885646,0.00867969,0.0158448,0.0251937
2L,20345001,20350000,50,-0.00270075,0.00613559,0.00361342,0.00612504,0.00834579,0.0139579
2L,20350001,20355000,79,0.00184143,0.00240934,0.00461755,0.00320264,0.020701,0.0207491
2L,20355001,20360000,58,0.00567727,0.00479558,0.0193737,0.0239831,0.0539754,0.0089846
2L,20360001,20365000,63,0.011433,0.00596046,0.0073217,0.0195538,0.0342723,0.0121866
2L,20365001,20370000,107,0.00193378,0.0138682,0.00464479,0.0116286,0.0141286,0.0106116
2L,20370001,20375000,90,0.00581793,-0.000358201,0.00927301,0.0109539,0.032007,0.00914721
2L,20375001,20380000,97,0.000181625,0.00759914,0.00891966,0.010269,0.0150299,0.00911388
2L,20380001,20385000,110,0.00418023,0.00289159,0.0192093,0.0114429,0.0302975,0.0181281
2L,20385001,20390000,103,0.00627072,0.00674793,0.012543,0.01453,0.0280747,0.0226127
2L,20390001,20395000,112,0.00725509,0.00871842,0.0128035,0.015876,0.0360828,0.0225007
2L,20395001,20400000,116,0.00388991,0.0106815,0.00729084,0.0166348,0.0209521,0.00878331
2L,20400001,20405000,121,0.0050212,0.00572611,0.012619,0.0151868,0.0304665,0.00922985
2L,20405001,20410000,66,0.00490817,0.00731316,0.0110376,0.0170459,0.031456,0.0178351
2L,20410001,20415000,25,0.0088616,0.00163069,0.0114539,0.00667856,0.036202,0.0189678
2L,20415001,20420000,104,-0.000325345,0.0119321,0.0119366,0.0205618,0.0101744,0.0334123
2L,20420001,20425000,97,0.00455133,0.00854061,0.0216841,0.00854041,0.0230941,0.0251345
2L,20425001,20430000,101,0.00685091,0.00148111,0.00829247,0.00782496,0.0100979,0.00597816
2L,20430001,20435000,94,0.00497813,0.00283839,0.00222798,0.00745106,0.00984804,0.00492013
2L,20435001,20440000,80,0.0114825,0.00064396,0.0116381,0.0118125,0.0227057,0.0121324
2L,20440001,20445000,22,0.00706279,0.00800857,0.0220505,0.0101204,0.0169705,0.0113856
2L,20445001,20450000,11,0.00576802,0.00454282,0.0140236,0.000550571,0.0247487,0.029978
2L,20450001,20455000,23,0.0185412,0.0174898,0.0279639,0.011516,0.0447643,0.0176627
2L,20455001,20460000,1,-0.00958882,0.000174078,-0.0100188,-0.00628476,-0.0104194,-0.00616134
2L,20460001,20465000,104,0.00793505,0.00246745,0.0288495,0.00882621,0.0577346,0.0336388
2L,20465001,20470000,107,0.00338866,0.00949287,0.00704778,0.0121726,0.0233904,0.0189118
2L,20470001,20475000,122,0.00453746,0.00554296,0.00440509,0.00661885,0.0145113,0.0098988
2L,20475001,20480000,105,0.00973583,0.00474681,0.00147885,0.00891163,0.0193457,0.00479641
2L,20480001,20485000,106,0.00609721,0.014467,0.0131163,0.00908052,0.0233241,0.0261066
2L,20485001,20490000,117,0.00916812,0.00902607,0.00666772,0.0172918,0.0247337,0.015753
2L,20490001,20495000,117,0.0144359,0.0049321,0.00136942,0.0231883,0.0216143,0.00940832
2L,20495001,20500000,141,0.000382433,0.00011954,0.000492984,0.00590012,0.0112225,0.00588014
2L,20500001,20505000,125,0.00340478,0.00574936,0.00636201,0.0116392,0.0135015,0.0155195
2L,20505001,20510000,131,0.0037385,0.00644616,0.00606923,0.00808956,0.0223235,0.0116404
2L,20510001,20515000,131,0.00470633,0.00626575,0.00722694,0.00782115,0.0160517,0.0082194
2L,20515001,20520000,137,0.0050889,0.00676132,0.00772504,0.0221907,0.0223568,0.00676571
2L,20520001,20525000,125,0.00688681,0.00389416,0.0114252,0.017943,0.026118,0.0194725
2L,20525001,20530000,123,0.00230003,0.00207566,0.0241292,0.00659519,0.0266564,0.018788
2L,20530001,20535000,124,0.00570267,0.0134827,0.0253139,0.0159359,0.0461973,0.0153968
2L,20535001,20540000,121,0.00764807,0.0127526,0.0118375,0.00486366,0.028613,0.0217794
2L,20540001,20545000,98,0.00663195,0.00831617,0.0230442,0.0176975,0.0372275,0.0281347
2L,20545001,20550000,81,0.00683762,0.00413952,0.0120049,0.0102641,0.037045,0.0210761
2L,20550001,20555000,87,0.00468199,0.00387149,0.00986421,0.00975921,0.0172691,0.0157978
2L,20555001,20560000,86,-0.000655664,0.00666248,0.00160189,0.0111287,0.00815177,0.0143922
2L,20560001,20565000,121,0.00875627,0.00330073,0.0037517,0.0247637,0.0123686,0.0139197
2L,20565001,20570000,95,0.00394453,0.00342881,0.016986,0.0147488,0.0107306,0.0283878
2L,20570001,20575000,112,0.0114208,0.00683437,0.0237389,0.0303798,0.0118297,0.0532932
2L,20575001,20580000,24,0.0132811,0.00669761,0.0169252,0.0210017,0.00856725,0.0137405
2L,20580001,20585000,27,0.0189003,0.000977608,0.00726389,0.0242343,0.0125869,0.0129838
2L,20585001,20590000,98,0.00841611,0.00548332,0.0078337,0.0177839,0.0155967,0.0175049
2L,20590001,20595000,99,0.00805192,0.00339569,0.00581646,0.0239863,0.0131263,0.0174133
2L,20595001,20600000,103,0.0195658,0.00448232,0.00209697,0.0255457,0.0221238,0.00764285
2L,20600001,20605000,122,0.0103816,0.00718686,0.00901759,0.0132291,0.0174768,0.0184728
2L,20605001,20610000,123,0.00386952,0.00856691,0.00523144,0.0177302,0.013961,0.0116992
2L,20610001,20615000,92,0.00373678,0.00504327,0.00708944,0.00954321,0.0177696,0.00761873
2L,20615001,20620000,84,0.00486332,0.0110896,0.00363834,0.00670619,0.00568915,0.0123567
2L,20620001,20625000,98,0.00379656,0.00631372,0.00599435,0.00818622,0.00893324,0.010473
2L,20625001,20630000,126,0.00562029,0.00637749,0.0107296,0.0211782,0.0202933,0.0155606
2L,20630001,20635000,96,0.00709379,0.00394069,0.00590179,0.0139561,0.0189782,0.0101268
2L,20635001,20640000,55,0.0293932,0.0135288,0.00800662,0.0230345,0.0387361,0.0208175
2L,20640001,20645000,68,0.00721127,0.0139993,0.0112483,0.0119003,0.0107062,0.00313023
2L,20645001,20650000,23,0.00571797,0.0140914,0.0104067,0.0133944,0.010796,0.00516718
2L,20650001,20655000,65,0.00590502,0.00742072,0.00413543,0.0180035,0.0115268,0.00310316
2L,20655001,20660000,48,0.0148656,0.00485664,0.00304618,0.0174958,0.016282,0.00835709
2L,20660001,20665000,72,0.0137742,0.00518259,0.00958521,0.0146872,0.0214908,0.0101372
2L,20665001,20670000,74,0.00911709,0.00299348,0.00457872,0.00844588,0.0169201,0.0143281
2L,20670001,20675000,100,0.00458198,0.0113541,0.00205277,0.0135526,0.00696427,0.016734
2L,20675001,20680000,71,0.00381967,0.00694078,-0.00126725,0.0171291,0.00857342,0.00386461
2L,20680001,20685000,76,0.0201583,0.0072501,0.00380267,0.0288384,0.0225525,0.0233909
2L,20685001,20690000,88,0.00645798,0.00160947,0.000966811,0.00986181,0.011848,0.00450701
2L,20690001,20695000,84,0.00391383,0.00223133,0.00102249,0.00784864,0.00456242,0.00465255
2L,20695001,20700000,76,0.00401549,0.00778443,0.00432028,0.0119821,0.00739467,0.0118016
2L,20700001,20705000,91,0.00891815,0.00191853,0.0120673,0.00563311,0.0125528,0.0153484
2L,20705001,20710000,103,0.00215119,0.00173116,0.00426183,0.0038149,0.0125319,0.0105939
2L,20710001,20715000,82,0.00141545,0.00377388,0.00620305,0.00154749,0.0106402,0.0102538
2L,20715001,20720000,83,0.00368645,0.00998873,0.000350651,0.017414,0.0106233,0.0173276
2L,20720001,20725000,86,0.0051013,0.00290301,0.00579671,0.011217,0.0163307,0.011861
2L,20725001,20730000,66,0.0107438,0.00129204,0.00131982,0.007749,0.0178457,0.00680225
2L,20730001,20735000,41,0.00721635,0.000895035,0.00383556,0.00566303,0.00740124,0.00985583
2L,20735001,20740000,39,0.0100789,0.00154513,0.00845264,0.00508779,0.0299601,0.0186632
2L,20740001,20745000,1,-0.00534184,0.0139966,-0.00641018,0.0235327,-0.00638162,0.0190873
2L,20745001,20750000,21,0.0130185,0.00256332,-0.000330067,0.0039646,0.011979,0.00673857
2L,20750001,20755000,55,0.0119978,0.00346238,0.00385423,0.00477424,0.0142572,0.0115142
2L,20755001,20760000,56,-0.00164087,0.00477972,0.0013724,0.00605492,0.00323885,0.014883
2L,20760001,20765000,70,0.00380464,0.00252672,0.00310655,0.00835517,0.0134502,0.00867918
2L,20765001,20770000,84,0.00455289,0.00235658,0.00341894,0.00827185,0.00504866,0.00868345
2L,20770001,20775000,91,0.00890437,-0.00160839,0.00238257,0.0101199,0.00425921,0.00799621
2L,20775001,20780000,76,0.00241378,0.00843103,0.00849283,0.0109145,0.00724614,0.0221433
2L,20780001,20785000,85,0.0150697,0.009553,0.00732936,0.0114481,0.0296357,0.0117122
2L,20785001,20790000,61,0.012056,0.00652279,0.00430039,0.0234881,0.0306519,0.0127184
2L,20790001,20795000,110,0.00287748,0.00711345,0.00689647,0.00807492,0.010467,0.00669779
2L,20795001,20800000,106,0.00355626,0.00185348,0.00396054,0.00331037,0.00278451,0.00795661
2L,20800001,20805000,102,0.00433938,0.0039484,0.00583678,0.00800782,0.00114754,0.0101019
2L,20805001,20810000,119,0.0166885,0.000364655,0.00435071,0.0226775,0.0202243,0.00263107
2L,20810001,20815000,73,0.0130515,0.00891814,-3.01764e-05,0.0258321,0.0069898,0.0121542
2L,20815001,20820000,62,0.0272236,-0.00269756,0.00706759,0.0242314,0.0104011,0.0100914
2L,20820001,20825000,81,0.0343797,-0.00275985,0.0109913,0.0362795,0.0154711,0.0178796
2L,20825001,20830000,67,0.0281516,0.00120683,0.00564692,0.0229191,0.0120302,0.0140038
2L,20830001,20835000,58,0.00787084,0.00356845,0.0046442,0.00760121,0.00779822,0.0192
2L,20835001,20840000,74,0.0179528,0.000352365,0.00431857,0.0216807,0.0214679,0.00996273
2L,20840001,20845000,88,0.0106373,0.000357245,0.00081045,0.0138069,0.00927387,0.00984942
2L,20845001,20850000,108,0.00785106,0.0020109,0.00327796,0.00853801,0.0108659,0.0135729
2L,20850001,20855000,116,0.0136345,0.00770149,0.00325612,0.0145275,0.0133079,0.0143067
2L,20855001,20860000,100,0.0133896,0.00290901,0.0126466,0.0122429,0.019659,0.0249234
2L,20860001,20865000,143,0.00721917,0.00116253,0.0166849,0.00886319,0.0242811,0.0259007
2L,20865001,20870000,97,0.0155084,0.00081448,0.0120266,0.0158813,0.0291413,0.0191814
2L,20870001,20875000,82,0.00523644,0.00279304,0.00614488,0.00379291,0.00986429,0.00390861
2L,20875001,20880000,91,0.00876473,-0.00166211,0.00386626,0.00987673,0.00805552,0.00545679
2L,20880001,20885000,101,0.00838718,0.00290625,0.00472571,0.0109229,0.00830096,0.00918192
2L,20885001,20890000,90,0.00922303,0.00790745,0.00146052,0.00917732,0.00751225,0.0103543
2L,20890001,20895000,22,0.0101176,0.0103631,-0.0004093,0.0142958,0.00528148,0.0168489
2L,20895001,20900000,29,0.0133217,0.0090088,0.000330842,0.017404,0.0172985,0.0185671
2L,20900001,20905000,56,0.00171835,0.0048816,0.00294933,0.012944,0.00862893,0.0227282
2L,20905001,20910000,88,0.0123291,-0.00106221,0.00572941,0.00954365,0.0168922,0.0103854
2L,20910001,20915000,70,0.00136092,-0.000693915,0.00394936,0.00576065,0.00688888,0.0124502
2L,20915001,20920000,66,0.0277628,-0.000441831,0.00767635,0.029894,0.0345625,0.0140955
2L,20920001,20925000,74,0.00651326,0.00333051,-0.0016748,0.0117312,0.00901986,0.00898046
2L,20925001,20930000,83,0.00281334,0.00834278,0.00153664,0.0084971,0.0112303,0.022595
2L,20930001,20935000,95,0.00453348,0.00389937,0.000192318,0.00800597,0.0066995,0.00884907
2L,20935001,20940000,89,0.0045497,0.00224888,0.00451321,0.00737939,0.0105343,0.00744276
2L,20940001,20945000,103,0.00738946,0.00689567,0.00623129,0.0130895,0.0172229,0.0334125
2L,20945001,20950000,104,0.00679949,0.00270839,0.00361343,0.00424424,0.020027,0.0126275
2L,20950001,20955000,90,0.00493965,0.00266982,0.00234645,0.0117477,0.00991422,0.00881369
2L,20955001,20960000,76,0.00354149,0.00687288,0.00712902,0.00893778,0.0125035,0.0178098
2L,20960001,20965000,76,0.00807981,0.00168116,-0.000116988,0.0129781,0.0147084,0.00517148
2L,20965001,20970000,70,0.00397106,0.00137592,0.000477001,0.00855866,0.0101001,0.00569957
2L,20970001,20975000,86,0.00901014,0.00209532,0.0106096,0.0106672,0.0198384,0.0159732
2L,20975001,20980000,24,0.00479518,0.0052121,0.00246541,0.00630334,0.00776334,-0.000671025
2L,20980001,20985000,62,0.00352531,0.00284174,0.000603745,0.00743341,0.00814165,0.00876899
2L,20985001,20990000,66,0.00720519,0.000945576,0.00528121,0.00631244,0.0206734,0.0132215
2L,20990001,20995000,89,0.0110217,0.00127469,0.000991677,0.00543697,0.0219245,0.0114357
2L,20995001,21000000,76,0.0068339,0.00151735,0.000780649,0.00856697,0.00740597,0.00755522
2L,21000001,21005000,75,0.0137454,0.00365749,0.00109761,0.00777486,0.0202137,0.0109215
2L,21005001,21010000,73,0.00638415,0.00676432,-0.000249032,0.0102368,0.0116702,0.00934024
2L,21010001,21015000,61,0.00480201,0.00795022,0.00263749,0.0131066,0.00975022,0.0125388
2L,21015001,21020000,59,0.00756428,0.000133234,0.00507086,0.00898801,0.0198989,0.00770879
2L,21020001,21025000,20,0.0146781,0.00738021,0.0166547,0.023682,0.054446,0.0126546
2L,21025001,21030000,72,0.0128547,0.00548786,0.00934898,0.0272863,0.0392217,0.0192902
2L,21030001,21035000,68,0.0118882,0.00376264,0.00182925,0.0163704,0.0244042,0.00526399
2L,21035001,21040000,51,0.0112174,0.00343107,0.00963608,0.0179791,0.0301662,0.00626977
2L,21040001,21045000,8,0.0219514,-0.00290509,0.00856559,0.0108239,0.0194868,0.00703731
2L,21045001,21050000,4,0.00331563,0.0109129,0.00649996,0.0442301,0.0224792,0.00500579
2L,21050001,21055000,71,0.00227381,0.0130428,0.0156876,0.0184938,0.0263795,0.0431258
2L,21055001,21060000,72,0.0154886,0.00314071,0.00262351,0.0184987,0.0327821,0.0112637
2L,21060001,21065000,61,0.00259797,0.00176993,0.00475528,0.0031256,0.0141545,0.00740811
2L,21065001,21070000,83,0.00917029,0.00377293,0.00159493,0.0112875,0.0191842,0.00891506
2L,21070001,21075000,68,0.0117061,0.00461078,0.017638,0.0129477,0.0235947,0.0202072
2L,21075001,21080000,92,0.00476416,0.00503407,0.023792,0.00467239,0.020555,0.00890789
2L,21080001,21085000,87,0.00241139,-0.00114857,0.00406355,0.00538491,0.0167478,0.0050769
2L,21085001,21090000,62,0.00816618,-0.000630908,0.00322339,0.0124066,0.0195956,0.00950889
2L,21090001,21095000,53,0.0105408,0.00238431,0.00465478,0.0188218,0.0190509,0.00495455
